date,value_mill_m3
1996-03-26,44.53993
1996-03-27,43.00014
1996-03-28,41.32021
1996-03-29,39.64027
1996-03-30,38.10005
1996-03-31,36.56026
1996-04-01,34.9324
1996-04-02,33.34247
1996-04-03,31.88516
1996-04-04,30.29523
1996-04-05,28.83752
1996-04-06,27.24758
1996-04-07,25.65765
1996-04-08,24.06771
1996-04-09,22.61
1996-04-10,21.6824
1996-04-11,21.6824
1996-04-12,20.2251
1996-04-13,19.56276
1996-04-14,19.82761
1996-04-15,20.09247
1996-04-16,20.35773
1996-04-17,20.75521
1996-04-18,21.15269
1996-04-19,21.94766
1996-04-20,23.00748
1996-04-21,24.59742
1996-04-22,26.45261
1996-04-23,28.97015
1996-04-24,32.68013
1996-04-25,35.86
1996-04-26,39.21986
1996-04-27,41.60005
1996-04-28,44.40022
1996-04-29,47.19997
1996-04-30,49.58015
1996-05-01,50.98024
1996-05-02,51.82021
1996-05-03,53.36
1996-05-04,55.45992
1996-05-05,57.98024
1996-05-06,60.08015
1996-05-07,61.48024
1996-05-08,62.74019
1996-05-09,63.86
1996-05-10,64.75307
1996-05-11,65.64613
1996-05-12,67.28371
1996-05-13,69.66537
1996-05-14,71.00497
1996-05-15,71.89803
1996-05-16,72.79109
1996-05-17,74.13068
1996-05-18,75.32174
1996-05-19,76.66133
1996-05-20,78.29847
1996-05-21,79.48952
1996-05-22,80.53113
1996-05-23,82.01971
1996-05-24,84.69891
1996-05-25,86.63403
1996-05-26,88.56915
1996-05-27,89.75975
1996-05-28,90.95081
1996-05-29,92.29041
1996-05-30,93.18346
1996-05-31,94.09678
1996-06-01,95.1861
1996-06-02,96.11965
1996-06-03,97.20897
1996-06-04,97.98678
1996-06-05,98.45356
1996-06-06,99.0761
1996-06-07,99.54288
1996-06-08,100.3207
1996-06-09,100.9432
1996-06-10,101.5658
1996-06-11,102.0325
1996-06-12,102.4993
1996-06-13,102.9661
1996-06-14,103.4329
1996-06-15,103.7439
1996-06-16,103.8997
