date,value,quality
2000-09-24 00:00:00+00:00,143.0,3
2000-09-25 00:00:00+00:00,138.0,3
2000-09-26 00:00:00+00:00,135.0,3
2000-09-27 00:00:00+00:00,141.0,3
2000-09-28 00:00:00+00:00,164.0,3
2000-09-29 00:00:00+00:00,183.0,3
2000-09-30 00:00:00+00:00,177.0,3
2000-10-01 00:00:00+00:00,160.0,3
2000-10-02 00:00:00+00:00,158.0,3
2000-10-03 00:00:00+00:00,155.0,3
2000-10-04 00:00:00+00:00,150.0,3
2000-10-05 00:00:00+00:00,147.0,3
2000-10-06 00:00:00+00:00,149.0,3
2000-10-07 00:00:00+00:00,149.0,3
2000-10-08 00:00:00+00:00,147.0,3
2000-10-09 00:00:00+00:00,147.0,3
2000-10-10 00:00:00+00:00,159.0,3
2000-10-11 00:00:00+00:00,308.0,3
2000-10-12 00:00:00+00:00,453.0,3
2000-10-13 00:00:00+00:00,500.0,3
2000-10-14 00:00:00+00:00,498.0,3
2000-10-15 00:00:00+00:00,488.0,3
2000-10-16 00:00:00+00:00,462.0,3
2000-10-17 00:00:00+00:00,438.0,3
2000-10-18 00:00:00+00:00,376.0,3
2000-10-19 00:00:00+00:00,344.0,3
2000-10-20 00:00:00+00:00,321.0,3
2000-10-21 00:00:00+00:00,300.0,3
2000-10-22 00:00:00+00:00,291.0,3
2000-10-23 00:00:00+00:00,294.0,3
2000-10-24 00:00:00+00:00,296.0,3
2000-10-25 00:00:00+00:00,294.0,3
2000-10-26 00:00:00+00:00,293.0,3
2000-10-27 00:00:00+00:00,296.0,3
2000-10-28 00:00:00+00:00,319.0,3
2000-10-29 00:00:00+00:00,369.0,3
2000-10-30 00:00:00+00:00,454.0,3
2000-10-31 00:00:00+00:00,533.0,3
2000-11-01 00:00:00+00:00,617.0,3
2000-11-02 00:00:00+00:00,594.0,3
2000-11-03 00:00:00+00:00,600.0,3
2000-11-04 00:00:00+00:00,661.0,3
2000-11-05 00:00:00+00:00,698.0,3
2000-11-06 00:00:00+00:00,652.0,3
2000-11-07 00:00:00+00:00,615.0,3
2000-11-08 00:00:00+00:00,627.0,3
2000-11-09 00:00:00+00:00,629.0,3
2000-11-10 00:00:00+00:00,655.0,3
2000-11-11 00:00:00+00:00,666.0,3
2000-11-12 00:00:00+00:00,668.0,3
2000-11-13 00:00:00+00:00,697.0,3
2000-11-14 00:00:00+00:00,715.0,3
2000-11-15 00:00:00+00:00,696.0,3
2000-11-16 00:00:00+00:00,574.0,3
2000-11-17 00:00:00+00:00,538.0,3
2000-11-18 00:00:00+00:00,536.0,3
2000-11-19 00:00:00+00:00,516.0,3
2000-11-20 00:00:00+00:00,522.0,3
2000-11-21 00:00:00+00:00,574.0,3
2000-11-22 00:00:00+00:00,590.0,3
2000-11-23 00:00:00+00:00,572.0,3
2000-11-24 00:00:00+00:00,596.0,3
2000-11-25 00:00:00+00:00,617.0,3
2000-11-26 00:00:00+00:00,598.0,3
2000-11-27 00:00:00+00:00,566.0,3
2000-11-28 00:00:00+00:00,530.0,3
2000-11-29 00:00:00+00:00,493.0,3
2000-11-30 00:00:00+00:00,474.0,3
2000-12-01 00:00:00+00:00,436.0,3
2000-12-02 00:00:00+00:00,412.0,3
2000-12-03 00:00:00+00:00,395.0,3
2000-12-04 00:00:00+00:00,378.0,3
2000-12-05 00:00:00+00:00,363.0,3
2000-12-06 00:00:00+00:00,349.0,3
2000-12-07 00:00:00+00:00,329.0,3
2000-12-08 00:00:00+00:00,320.0,3
2000-12-09 00:00:00+00:00,340.0,3
2000-12-10 00:00:00+00:00,371.0,3
2000-12-11 00:00:00+00:00,380.0,3
2000-12-12 00:00:00+00:00,372.0,3
2000-12-13 00:00:00+00:00,375.0,3
2000-12-14 00:00:00+00:00,370.0,3
2000-12-15 00:00:00+00:00,303.0,3
2000-12-16 00:00:00+00:00,262.0,3
2000-12-17 00:00:00+00:00,225.0,3
2000-12-18 00:00:00+00:00,201.0,3
2000-12-19 00:00:00+00:00,160.0,3
2000-12-20 00:00:00+00:00,157.0,3
2000-12-21 00:00:00+00:00,153.0,3
